Desa/Kelurahan,Kode Wilayah,Kecamatan,Jumlah Penduduk,Belum/Tidak Bekerja,Mengurus Rumah Tangga,Pelajar/Mahasiswa,Pegawai Negeri Sipil,Petani/ Pekebun,Karyawan Swasta,Buruh Harian Lepas,Buruh Tani/Perkebunan,Pedagang,Wiraswasta,cluster,Cluster,Principal Component 1,Principal Component 2,Cluster
Bendo,3309122009,Nogosari,2440,400,212,412,29,207,601,147,263,10,56,1,0,-0.0951671318922549,-0.30604393642077315,0
Keyongan,3309122010,Nogosari,7485,1290,811,1370,44,399,1598,615,544,23,472,2,2,1.1272689799632845,0.019283386142943393,2
Pojok,3309122011,Nogosari,3660,562,310,630,35,578,997,120,102,30,159,1,0,-0.04598248465157728,-0.05217742870779313,0
Glonggong,3309122012,Nogosari,6178,991,700,1109,77,375,1361,370,326,39,463,2,2,1.046136730381481,-0.08951937748527322,2
Pulutan,3309122013,Nogosari,6017,925,705,1136,34,379,775,96,97,41,1654,2,2,1.0399567299851464,-0.021441114792093485,2
Pelem,3309132001,Simo,6066,1271,788,1079,100,48,1088,424,173,98,570,2,2,1.1025746460956023,-0.03299447333047961,2
Bendungan,3309132002,Simo,2694,559,232,454,46,403,508,42,68,12,215,1,0,-0.09892841984643685,-0.19275681683091989,0
Temon,3309132003,Simo,2750,579,313,430,34,146,573,60,337,16,132,1,0,-0.06217980614936969,-0.27739235570687243,0
Teter,3309132004,Simo,3726,770,542,639,55,185,709,136,189,19,277,1,0,0.010358222326325661,-0.08577622951068292,0
Simo,3309132005,Simo,4914,1037,623,881,115,147,1115,198,114,51,278,1,0,0.10735760009977802,0.12520584212022062,0
Walen,3309132006,Simo,3700,872,627,551,45,257,591,146,195,18,209,1,0,0.003740391468848525,-0.08903722870661096,0
Pentur,3309132007,Simo,3483,751,501,530,19,109,691,141,442,10,201,1,0,-0.001683057761731499,-0.20586920264216252,0
Gunung,3309132008,Simo,3746,766,570,537,23,262,681,77,418,13,218,1,0,-0.00455462076844948,-0.16391188753092295,0
Talakbroto,3309132009,Simo,2440,539,444,383,44,66,478,99,213,3,59,1,0,-0.06530525019221733,-0.2850309738336696,0
Kedung Lengkong,3309132010,Simo,5272,1328,756,801,58,237,981,322,343,32,207,1,0,0.12093256424036336,0.10183837564043058,0
Blagung,3309132011,Simo,5607,1332,981,898,32,204,1022,319,346,21,243,2,2,1.0483779669741986,-0.15924552617346083,2
Sumber,3309132012,Simo,3824,916,760,546,30,146,747,216,162,39,121,1,0,0.043185875547831376,-0.04830949976567922,0
Wates,3309132013,Simo,4368,1046,653,623,20,333,781,221,213,20,287,1,0,0.040228408179423525,0.001971735128849017,0
Manyaran,3309142001,Karanggede,4662,945,704,749,13,343,931,311,392,6,139,1,0,0.05526015610061363,-0.02012684494804201,0
Sempulur,3309142002,Karanggede,2491,580,296,429,12,81,375,217,187,8,219,1,0,-0.07218919283028646,-0.2770620458055323,0
Klumpit,3309142003,Karanggede,2222,491,364,346,12,168,237,225,52,1,212,1,0,-0.09985679787363355,-0.28062606010136804,0
Pinggir,3309142004,Karanggede,2432,515,315,376,7,184,521,84,246,8,108,1,0,-0.08649875160872189,-0.2946799984069855,0
Bantengan,3309142005,Karanggede,3797,812,582,616,31,106,645,434,86,11,354,1,0,0.02789904082755079,-0.058730561457866204,0
Tegalsari,3309142006,Karanggede,3118,707,420,516,33,44,816,124,69,24,155,1,0,-0.013551428730006476,-0.138412526034995,0
Sranten,3309142007,Karanggede,3121,654,430,556,57,78,578,102,233,17,234,1,0,-0.022504634805863732,-0.19020988424686414,0
Grogolan,3309142008,Karanggede,2609,561,503,418,6,246,476,176,61,7,87,1,0,-0.06969263141152582,-0.20671036882952926,0
Mojosari,3309142009,Karanggede,1303,279,265,198,15,75,189,75,70,3,76,1,0,-0.14893749729587713,-0.40915433799322376,0
Pengkol,3309142010,Karanggede,3736,812,468,579,17,172,859,148,279,59,211,1,0,0.02207615001459229,-0.09348610637111421,0
Karangkepoh,3309142011,Karanggede,2693,494,553,531,18,63,439,243,95,10,135,1,0,-0.04181472791770413,-0.21527996050043302,0
Sendang,3309142012,Karanggede,4276,948,817,639,39,91,862,443,131,14,145,1,0,0.07549115630815262,0.00321377870841294,0
Kebonan,3309142013,Karanggede,3812,792,488,740,65,20,533,161,61,32,646,1,0,0.03375971010255152,-0.03991216569951289,0
Klari,3309142014,Karanggede,3061,691,576,454,11,70,376,356,187,5,261,1,0,-0.020435777651653053,-0.20070949404611532,0
Bangkok,3309142015,Karanggede,2654,549,397,424,2,362,377,89,150,8,238,1,0,-0.08969097714237728,-0.2263653134584681,0
Dologan,3309142016,Karanggede,2272,506,241,347,10,197,566,43,249,3,70,1,0,-0.10091185824128823,-0.3142867391724766,0
Kalangan,3309152001,Klego,4092,801,368,664,9,186,508,63,685,10,758,1,0,0.013637217861166784,-0.19860126287830943,0
Sendangrejo,3309152002,Klego,3877,804,442,596,14,831,820,56,135,1,109,0,1,-0.957184414893661,0.28025165780254974,1
Tanjung,3309152003,Klego,5226,1143,497,870,31,371,734,527,559,18,268,1,0,0.0710252598654908,-0.0084330113385081,0
Jaten,3309152004,Klego,1873,339,221,322,9,191,440,43,174,5,50,1,0,-0.12949290136378755,-0.3557737255452762,0
Blumbang,3309152005,Klego,2563,487,181,463,26,357,226,69,92,19,544,1,0,-0.10582075275552394,-0.22411465531974867,0
Sangge,3309152006,Klego,3654,752,273,559,5,688,914,67,136,4,193,1,0,-0.06679837627719332,-0.06305300101689515,0
Banyu Urip,3309152007,Klego,4529,957,686,811,55,327,675,181,208,12,427,1,0,0.05038073632549778,0.03010137762549464,0
Bade,3309152008,Klego,4724,1060,822,787,29,121,500,217,715,49,202,1,0,0.09098120584722147,-0.1059048083511257,0
Klego,3309152009,Klego,4395,851,682,787,64,141,622,460,107,17,328,1,0,0.05728864344968643,0.004366580206454251,0
Gondanglegi,3309152010,Klego,3517,774,418,593,6,468,881,56,172,4,106,1,0,-0.038777512775254985,-0.08860365050690538,0
Karanggatak,3309152011,Klego,2440,488,273,406,10,429,297,114,58,22,266,1,0,-0.11430310420481793,-0.22482011040644745,0
Sumber Agung,3309152012,Klego,5965,1266,1032,1051,39,313,874,58,345,39,756,2,2,1.064220986483835,-0.08402857941867709,2
Karangmojo,3309152013,Klego,4498,739,412,934,33,529,398,42,87,18,1124,1,0,0.005130955689470751,0.06085781403850815,0
Pakel,3309162001,Andong,4105,781,345,705,27,276,529,60,129,50,1041,1,0,0.018719397336407262,-0.0048472261013715046,0
Gondang Rawe,3309162002,Andong,3445,586,254,644,28,293,484,58,306,10,674,1,0,-0.042683793044602014,-0.17042404994100896,0
Sempu,3309162003,Andong,8497,1684,868,1453,41,877,1337,110,220,41,1645,2,2,1.1515177242420511,0.3277909118964039,2
Beji,3309162004,Andong,4536,835,593,828,20,327,395,203,88,15,1084,1,0,0.04224188997537315,0.053556003736713154,0
Mojo,3309162005,Andong,6750,1325,670,1334,72,222,788,203,102,59,1645,2,2,1.106803014911703,0.08450908398633356,2
Senggrong,3309162006,Andong,3090,582,463,548,20,258,550,133,82,23,304,1,0,-0.04091663517629973,-0.14084464775934236,0
Kedungdowo,3309162007,Andong,3099,550,285,516,14,373,495,45,330,10,376,1,0,-0.07349075558371432,-0.2265121966572703,0
